Stars,Position,Name,Class,Ht,Wt,Previous School,New School
2.0,PG,Clements KejuanKejuan Clements,RS SO,746-2,185,Eastern Illinois,
2.0,SG,Clements MalcolmMalcolm Clements,RS FR,756-3,170,Eastern Michigan,Henry Ford College
2.0,PG,Cobb JalenJalen Cobb,SR,736-1,175,Fordham,Mercer
2.0,PG,Cochran TylerTyler Cochran,RS SO,746-2,220,Ball State,Toledo
2.0,PG,Cody SpencerSpencer Cody,SR,715-11,185,Xavier,
2.0,PG,Cofer JimelJimel Cofer,RS FR,756-3,182,Stephen F. Austin,
2.0,SG,Colbert BradBrad Colbert,RS FR,746-2,185,Louisville,Xavier
4.0,C,Colbert JerrellJerrell Colbert,RS FR,826-10,216,LSU,Kansas State
3.0,SG,Coleman JarronJarron Coleman,RS JR,776-5,210,Missouri,Ball State
2.0,C,Coleman JeriahJeriah Coleman,SO,847-0,220,St. Francis (PA),Clarendon College
3.0,SF,Coleman KalebKaleb Coleman,JR,796-7,215,Lipscomb,Elizabeth City State
2.0,C,Coleman KendalKendal Coleman,SO,806-8,230,Northwestern State,LSU
2.0,SF,Coleman LanceLance Coleman,RSSR,786-6,205,Cal State Northridge,Concordia Irvine
3.0,SG,Coleman II MarvinMarvin Coleman II,SR,756-3,200,UNLV,Evansville
4.0,PF,Collier NoahNoah Collier,RS FR,806-8,220,Pittsburgh,William & Mary
2.0,SG,Collins DevinDevin Collins,RS SO,806-8,200,Marshall,University of Pikeville
4.0,PG,Collins FrankieFrankie Collins,RS FR,736-1,185,Michigan,Arizona State
2.0,PG,Commander MauriceMaurice Commander,SR,726-0,175,UIC,LIU
2.0,PF,Conrad BaileyBailey Conrad,SO,796-7,230,Western Kentucky,The Citadel
2.0,PG,Conway RyanRyan Conway,RS FR,736-1,190,Seton Hall,Towson
2.0,PG,Cook ChaseChase Cook,RS FR,705-10,165,Robert Morris,Allen
2.0,SG,Cook JariusJarius Cook,RS JR,756-3,185,North Dakota State,Jacksonville
2.0,SG,Cook JarrenJarren Cook,SO,766-4,205,Sam Houston State,Tyler Junior College
2.0,SG,Cook PrestonPreston Cook,SR,766-4,205,Auburn,Drury
2.0,SG,Cook TasosTasos Cook,FR,746-2,180,Stetson,Vincennes University
2.0,PG,Cooper AnthonyAnthony Cooper,SR,746-2,155,Caldwell,Marist
2.0,SG,Cooper MarquezMarquez Cooper,RSSR,766-4,195,Bluefield State,New Orleans
2.0,PG,Cooper Ta'LonTa'Lon Cooper,RS SO,766-4,190,Morehead State,Minnesota
2.0,PF,Corbett TyreeTyree Corbett,SR,796-7,200,Coppin State,Denver
3.0,SG,Corbin JoshJosh Corbin,RS SO,756-3,190,Winthrop,Robert Morris
2.0,PF,Cortez AnjayAnjay Cortez,SO,806-8,185,Alabama A&M,San Diego City College
2.0,PG,Cotton VirshonVirshon Cotton,RSSR,746-2,170,New Mexico State,Grambling State
4.0,PF,Cottrell IsaiahIsaiah Cottrell,RS FR,826-10,245,West Virginia,UNLV
2.0,SG,Couisnard JermaineJermaine Couisnard,RS JR,766-4,210,South Carolina,Oregon
3.0,PF,Coulibaly Abdoul KarimAbdoul Karim Coulibaly,RS SO,816-9,235,St. Bonaventure,UMass Lowell
3.0,C,Coulibaly BoubacarBoubacar Coulibaly,RS FR,826-10,215,USC,Pepperdine
3.0,SG,Council IV RickyRicky Council IV,RS FR,786-6,205,Wichita State,Arkansas
2.0,PG,Courseault KhristionKhristion Courseault,RS JR,746-2,180,Houston Christian,Chattanooga
2.0,PF,Courtney ChaseChase Courtney,RS FR,826-10,230,Arizona State,
2.0,PG,Covington YuriYuri Covington,RS FR,736-1,192,William & Mary,UMass Lowell
2.0,PF,Cozart IsaiahIsaiah Cozart,RS SO,796-7,240,Western Kentucky,Eastern Kentucky
2.0,SF,Cramer KvonnKvonn Cramer,RS SO,786-6,205,Hofstra,Bryant
2.0,PG,Crawford CameronCameron Crawford,RS FR,736-1,165,New Mexico State,
2.0,SG,Crews JacobJacob Crews,SO,796-7,200,North Florida,Daytona State College
2.3,PG,Crockrell II PierrePierre Crockrell II,RS SO,726-0,175,Pacific,UC Irvine
2.0,PG,Cronin JacksonJackson Cronin,RS FR,736-1,187,Nebraska,Massachusetts
2.0,SF,Croskey OmarOmar Croskey,RS SO,786-6,195,South Carolina State,
4.0,PF,Cross MattMatt Cross,RS FR,796-7,225,Louisville,Massachusetts
4.0,PG,Crowley AustinAustin Crowley,RS SO,776-5,195,Ole Miss,Southern Miss
2.0,PG,Cummings NellyNelly Cummings,RSSR,726-0,190,Colgate,Pittsburgh
2.0,SG,Cunningham Kam'RonKam'Ron Cunningham,RS JR,796-7,205,Fordham,Coppin State
4.0,PG,Curbelo AndreAndre Curbelo,RS FR,736-1,175,Illinois,St. John's
2.0,PG,Curfman KamdynKamdyn Curfman,RS SO,736-1,186,VMI,Marshall
3.0,PG,Curtis CarlosCarlos Curtis,SR,746-2,205,SIUE,
2.0,C,Cârcoană MihaiMihai Cârcoană,RS FR,836-11,240,Toledo,South Dakota
2.0,PG,Dahlke DevenDeven Dahlke,RS FR,746-2,190,Drake,San Diego
4.0,PF,Dainja DainDain Dainja,RS FR,816-9,270,Baylor,Illinois
2.0,SG,Dambreville E.J.E.J. Dambreville,SR,756-3,200,Manhattan,Florida Southern
3.0,PG,Daniels PeytonPeyton Daniels,RS FR,746-2,185,Stephen F. Austin,Jacksonville State
3.0,PG,Daniels PeytonPeyton Daniels,RS FR,746-2,185,Vanderbilt,Stephen F. Austin
2.0,PG,Daugherty BenBen Daugherty,JR,756-3,183,Elon,
2.0,PG,Davidson KeishawnKeishawn Davidson,RS SO,746-2,175,Tennessee Tech,Belmont
2.0,SG,Davis AmariAmari Davis,RS SO,746-2,175,Missouri,Wright State
2.0,PG,Davis BrendanBrendan Davis,RS FR,726-0,160,UMBC,
2.0,PG,Davis BrentBrent Davis,RS FR,756-3,190,The Citadel,Chicago State
2.0,SG,Davis ChristianChristian Davis,RS FR,796-7,190,Le Moyne,Bradley
2.0,SG,Davis DashawnDashawn Davis,RS SO,746-2,180,Oregon State,Mississippi State
4.0,SG,Davis DreDre Davis,RS FR,786-6,212,Louisville,Seton Hall
2.0,PG,Davis ElijahElijah Davis,FR,726-0,175,Mississippi Valley State,Walters State Community College
3.0,PF,Davis JavianJavian Davis,RS JR,816-9,265,Mississippi State,UAB
2.0,PF,Davis JemalJemal Davis,SO,816-9,200,South Carolina State,Florida SouthWestern State College
4.0,PG,Davis KendricKendric Davis,RS JR,726-0,180,SMU,Memphis
2.0,SF,Davis KyndallKyndall Davis,SO,776-5,200,LIU,Panola College
2.0,SG,Davis MattMatt Davis,FR,786-6,170,Charleston Southern,Laramie County Community College
2.0,SG,Davis TyreeseTyreese Davis,RS JR,786-6,210,Jacksonville,Eastern Washington
4.0,PG,Dawes Al-AmirAl-Amir Dawes,RS SO,746-2,180,Clemson,Seton Hall
2.0,PG,Dawson ParisParis Dawson,RS FR,746-2,170,Portland State,Seattle
2.0,PG,Daye AntonioAntonio Daye,RS JR,746-2,205,Fordham,Coastal Carolina
2.0,PG,DePersia MichaelMichael DePersia,JR,715-11,175,IUPUI,Le Moyne
2.0,PG,Deen DukeDuke Deen,RS FR,685-8,160,Troy,Bradley
4.0,SF,Delaire JaidenJaiden Delaire,SR,816-9,215,Stanford,San Diego
2.0,C,Dembélé SekouSekou Dembélé,RS JR,796-7,230,Southern Illinois,Fort Lewis
2.0,SG,Dennis DexterDexter Dennis,SR,776-5,210,Wichita State,Texas A&M
2.0,PG,Derry NazimNazim Derry,RS JR,746-2,160,Goldey–Beacom,New Hampshire
2.0,PG,Devonish SherwynSherwyn Devonish,SR,736-1,192,Morgan State,Rogers State
4.0,SG,Dezonie ShaneShane Dezonie,RS FR,776-5,215,Vanderbilt,Temple
2.0,PG,DiGiulio MichaelMichael DiGiulio,RS FR,726-0,170,Kent State,Canisius
2.0,SG,Diallo MohamedMohamed Diallo,SR,796-7,210,Stony Brook,UT Tyler
4.0,SF,Diallo SambaSamba Diallo,RS JR,796-7,195,Manhattan,
4.0,PG,Diarra HassanHassan Diarra,RS FR,746-2,190,Texas A&M,Connecticut
2.0,SG,Dibba Ali AbdouAli Abdou Dibba,RS FR,766-4,185,Chicago State,Abilene Christian
2.0,PG,Dibba EbrimaEbrima Dibba,RS JR,786-6,202,Coastal Carolina,South Carolina
2.0,SG,Diboundje QuentinQuentin Diboundje,RS FR,776-5,217,Tennessee,East Carolina
2.0,PF,Dickson KobeKobe Dickson,SR,816-9,235,Cornell,Howard
2.0,PF,Didenko DavidDavid Didenko,RS JR,816-9,230,UT Martin,
2.0,C,Diedhiou ADAD Diedhiou,RS SO,836-11,262,UAB,Louisiana–Monroe
4.0,PG,Diggins RahsoolRahsool Diggins,RS FR,746-2,175,Connecticut,Massachusetts
2.0,PG,Dike EzeEze Dike,SR,756-3,190,Yale,Eastern New Mexico
2.0,PG,Dilling JoshJosh Dilling,SO,766-4,190,Queens (NC),Northern State
3.0,SG,"Dinwiddie, Jr. KeithKeith Dinwiddie, Jr.",RS FR,726-0,185,San Diego State,Weber State
2.0,C,Diouf AssaneAssane Diouf,RS JR,867-2,250,Austin Peay,Davenport
2.0,SG,Dismuke CharlesCharles Dismuke,RS FR,756-3,-,Jackson State,
2.0,PF,Dixon JuliusJulius Dixon,JR,796-7,202,Morehead State,Missouri Western
2.0,C,Djonkam LewisLewis Djonkam,RSSR,816-9,245,Radford,Morgan State
3.0,PG,Dobbs DrakeDrake Dobbs,SO,746-2,180,Liberty,St. Thomas
2.0,PG,Dockery MarcusMarcus Dockery,RS FR,746-2,180,Maryland,Howard
2.0,PF,Doles JarvisJarvis Doles,RSSR,806-8,210,Albany,UMBC
2.0,SG,Donaldson CalebCaleb Donaldson,RS SO,766-4,200,St. Cloud State,Eastern Illinois
2.0,SG,Doolittle TravontaTravonta Doolittle,SR,766-4,179,Arkansas–Pine Bluff,Mid-America Christian University
3.0,SG,Dorsey GabeGabe Dorsey,RS FR,786-6,215,Vanderbilt,William & Mary
2.0,PG,Doss ShaunShaun Doss,RSSR,776-5,185,SIUE,Arkansas–Pine Bluff
4.0,PG,Doutrive DevonaireDevonaire Doutrive,RS JR,776-5,185,Boise State,
2.0,PG,DowDell JeremyJeremy DowDell,FR,746-2,174,Brigham Young,Westminster
2.0,SF,Doyne DreshaunDreshaun Doyne,FR,806-8,192,Central Arkansas,Arkansas–Pine Bluff
2.0,SF,Drame FousseyniFousseyni Drame,RS SO,796-7,200,Saint Peter's,La Salle
2.0,SF,Drame HassanHassan Drame,RS SO,796-7,200,Saint Peter's,La Salle
2.0,PG,Driggs LloyerLloyer Driggs,RS FR,715-11,167,Tarleton State,Chaminade
2.0,PF,"Duhart, Jr. ReginaldReginald Duhart, Jr.",RS SO,816-9,210,Appalachian State,Charleston Southern
2.0,PG,Duke SeanSean Duke,SO,746-2,180,Manhattan,
2.0,PG,Dunn DevonDevon Dunn,RS SO,736-1,180,Fairleigh Dickinson,Campbell
2.0,PF,Dupree II JosephJoseph Dupree II,RS FR,786-6,-,Jackson State,
2.0,C,Durosinmi OluwasegunOluwasegun Durosinmi,RS FR,816-9,235,St. Bonaventure,Northern Illinois
3.0,C,Durr MichaelMichael Durr,SR,847-0,250,Indiana,UCF
3.5,SF,Durugordon SeanSean Durugordon,RS FR,776-5,217,Missouri,Austin Peay
2.0,PG,Dut DengDeng Dut,RS SO,766-4,192,Wyoming,Southern Utah
2.0,PF,Dušanić MajMaj Dušanić,SO,796-7,220,San Francisco,Hawaii Pacific
2.0,SG,Dwyer BrandonBrandon Dwyer,RS FR,756-3,180,La Salle,Florida Gulf Coast
2.0,PG,Dybala FreddieFreddie Dybala,SO,756-3,190,California Baptist,Concordia Irvine
2.0,PG,Dyson DhashonDhashon Dyson,RS SO,736-1,190,St. Augustine's,Bethune–Cookman
2.0,SG,Eady TyreeTyree Eady,RSSR,776-5,215,North Dakota State,North Texas
2.0,PF,Earley JoshJosh Earley,RS SO,796-7,242,Tulsa,Southeast Missouri State
2.0,PG,Easter GrehlonGrehlon Easter,SR,756-3,180,Cal State Bakersfield,Eastern New Mexico
3.0,PF,Eboigbodin GregGreg Eboigbodin,RSSR,816-9,225,Northeastern,
2.0,PF,Ebonkoli MelvynMelvyn Ebonkoli,RS FR,796-7,229,Missouri State,
2.0,SG,Economou RipRip Economou,SR,806-8,190,Seattle,
2.0,PG,Edert DougDoug Edert,JR,746-2,185,Saint Peter's,Bryant
2.0,PG,Edmead MalikMalik Edmead,RS FR,705-10,170,Merrimack,Albany
2.0,PF,Edokpayi JasonJason Edokpayi,SO,786-6,220,Fairfield,New Haven
4.0,SG,Edwards KeonKeon Edwards,RS FR,806-8,210,Nebraska,Milwaukee
2.0,SG,Edwards MaximusMaximus Edwards,RS FR,776-5,220,Kansas State,George Washington
2.0,PG,Edwards NickNick Edwards,SR,736-1,170,Glenville State,Valparaiso
2.0,SG,Edwards SheldonSheldon Edwards,RS FR,766-4,180,Valparaiso,Loyola Chicago
2.0,PF,Eisa TarigTarig Eisa,SR,806-8,210,Lamar,Florida A&M
2.0,PF,El Sheikh OmarOmar El Sheikh,RS JR,806-8,218,Assumption,Arkansas State
2.0,SG,Elame NicolasNicolas Elame,RS SO,756-3,192,UT Arlington,Longwood
2.0,PG,Elkamil GavynGavyn Elkamil,RS FR,776-5,190,Tulsa,Southeast Missouri State
2.0,SF,Elkugia YousefYousef Elkugia,RS FR,796-7,210,Eastern Washington,Dominican (CA)
2.0,SF,Eller LukaLuka Eller,RS FR,796-7,220,Miami (OH),John Carroll University
2.0,SG,Ellingson TylerTyler Ellingson,RS SO,776-5,180,Milwaukee,
2.0,SG,Elliott GregGreg Elliott,RSSR,756-3,180,Marquette,Pittsburgh
2.0,SG,Elliott IV DavidDavid Elliott IV,FR,756-3,185,Loyola Marymount,Garden City Community College
2.0,SG,Ellison JusticeJustice Ellison,RS FR,766-4,190,Central Connecticut State,American International
2.0,SG,Elniel EmadEmad Elniel,SO,796-7,195,Utah Tech,Concordia St. Paul
2.0,SF,Emilien PatrickPatrick Emilien,SR,796-7,210,St. Francis Brooklyn,Maryland
2.0,PF,Enaruna IyenIyen Enaruna,SR,816-9,210,Evansville,Fort Hays State
4.0,SF,Enaruna TristanTristan Enaruna,RS SO,806-8,220,Iowa State,Cleveland State
3.0,C,Enoh VictorVictor Enoh,RSSR,806-8,250,Marist,UNCW
2.0,SF,Epps DeAngeloDeAngelo Epps,JR,776-5,200,Hampton,Catawba
2.0,SG,Erickson HunterHunter Erickson,SO,756-3,191,Brigham Young,Salt Lake Community College
2.0,PF,Erikstrup DaneDane Erikstrup,RS FR,826-10,240,Cal Poly Pomona,Eastern Washington
2.0,SF,Eskandari AriaAria Eskandari,SR,746-2,185,Cleveland State,Southern Wesleyan
2.0,PG,Esparza DanielDaniel Esparza,FR,746-2,180,Cal Poly,Biola
2.0,SG,Etienne BrysonBryson Etienne,SR,756-3,190,Texas Southern,Southern
2.0,SG,Evans AkiliAkili Evans,FR,776-5,180,Sacramento State,Georgia Highlands College
2.0,SG,Evans AlseanAlsean Evans,RSSR,786-6,195,Little Rock,
2.0,PF,Evans DevinDevin Evans,JR,816-9,195,Omaha,USC Aiken
2.0,C,Evans TraceTrace Evans,SO,816-9,250,Kansas City,Seattle Pacific
2.0,SF,Evans YaradyahYaradyah Evans,RS SR,786-6,200,St. Francis Brooklyn,
2.0,PG,Evans IV LamontLamont Evans IV,RS FR,726-0,155,South Florida,Saint Louis
4.0,SF,"Evans, Jr. ChéChé Evans, Jr.",RS FR,796-7,215,San Diego State,UTEP
4.0,SF,"Evans, Jr. ChéChé Evans, Jr.",RS FR,796-7,215,UTEP,USC Upstate
2.0,SG,Evdokimov NikitaNikita Evdokimov,RS FR,776-5,-,College of Charleston,South Plains College
2.0,SG,Everett DavionDavion Everett,RS FR,766-4,215,Western Carolina,
2.0,SF,Eyþórsson ArnórArnór Eyþórsson,RS FR,796-7,190,Toledo,
2.0,C,Eze ElochukwuElochukwu Eze,RS JR,826-10,240,SIUE,
2.0,C,Ezeagu KaosiKaosi Ezeagu,RS JR,826-10,255,Kansas State,Sam Houston State
2.0,PG,Ezeakudo OnyebuchiOnyebuchi Ezeakudo,SR,746-2,200,Pittsburgh,Radford
2.0,PF,Ezedinma GodsgiftGodsgift Ezedinma,SO,796-7,205,Incarnate Word,East Central
3.0,PF,Ezewiro BradleyBradley Ezewiro,RS FR,816-9,255,LSU,Georgetown
2.0,PF,Ezikpe KaluKalu Ezikpe,RS JR,806-8,240,Old Dominion,Cincinnati
2.0,SG,Fadal AustinAustin Fadal,RS JR,766-4,175,Eastern Washington,
2.0,SF,Fagan Tra'VonTra'Von Fagan,RSSR,796-7,212,Buffalo,UMBC
2.0,SG,Fairley D.J.D.J. Fairley,FR,746-2,190,Alabama A&M,Lawson State Community College
2.0,C,Fall AmadouAmadou Fall,RS JR,826-10,240,Arkansas–Pine Bluff,LIU
2.0,SG,Fantina MarioMario Fantina,SO,776-5,188,Arkansas State,Arkansas–Monticello
4.0,PG,Farabello FranciscoFrancisco Farabello,RS SO,746-2,183,TCU,Creighton
2.0,PF,Farah IsaacIsaac Farah,RS FR,796-7,208,ETSU,
2.0,PF,Farr ElijahElijah Farr,RS JR,806-8,240,Murray State,
3.0,SG,Farrar NickNick Farrar,RS FR,796-7,230,College of Charleston,UNCW
2.0,PF,Farrer TreyTrey Farrer,JR,816-9,235,Utah Valley,Westminster
2.0,PG,Farris KamKam Farris,RS FR,756-3,165,Robert Morris,Marist
4.0,C,Felton WillWill Felton,RS FR,816-9,260,Arizona State,North Carolina A&T
2.0,PG,Ferebee QuincyQuincy Ferebee,RSSR,736-1,175,Portland,Nichols College
2.0,SG,Ferguson A.J.A.J. Ferguson,RS FR,786-6,185,East Central,Southern Illinois
2.0,PF,Fernández BorjaBorja Fernández,JR,796-7,230,Montana State,Kentucky Wesleyan
2.0,SG,Ferrarini NickNick Ferrarini,SR,776-5,185,Omaha,Wayne State (NE)
2.0,PG,Fields CalebCaleb Fields,RS JR,746-2,185,Bowling Green,Fairfield
2.0,PG,Figueroa OmarOmar Figueroa,FR,726-0,170,North Alabama,Flagler
2.0,C,Filewich KylerKyler Filewich,RS FR,816-9,250,Southern Illinois,Wofford
2.0,PG,Finch JalenJalen Finch,SR,736-1,165,Jacksonville State,Georgia Southern
3.0,C,Fitzmorris KeenanKeenan Fitzmorris,RS JR,847-0,235,Stanford,Stony Brook
2.0,SG,Fizulich LukeLuke Fizulich,RS FR,746-2,185,Albany,
2.0,PG,Fleming NickNick Fleming,SR,736-1,165,Southern Utah,Cal Poly
2.0,SG,"Fleming, Jr. HowardHoward Fleming, Jr.",RS FR,776-5,200,Illinois State,Winthrop
2.0,SG,Florence Ja'QuavianJa'Quavian Florence,SO,756-3,200,Charleston Southern,Tallahassee Community College
2.0,SG,Flores J.J.J.J. Flores,RS JR,756-3,180,Western Illinois,
2.0,PG,Flowers MosesMoses Flowers,RS SO,756-3,180,Hartford,St. Bonaventure
4.0,SG,"Floyd, Jr. CoreyCorey Floyd, Jr.",RS FR,766-4,210,Connecticut,Providence
2.0,PG,Fofana AhamadouAhamadou Fofana,SR,736-1,175,Canisius,Maryland Eastern Shore
2.0,C,Folarin MichaelMichael Folarin,RS FR,836-11,210,Eastern Washington,Nevada
2.0,PF,Forbes MasonMason Forbes,SR,816-9,230,Harvard,Saint Mary's
2.0,SG,Ford ChrisChris Ford,RS FR,776-5,200,Davidson,Robert Morris
2.0,PG,Ford III RobertRobert Ford III,RS JR,726-0,185,Idaho State,Montana State
2.0,PG,"Ford, Jr. RayRay Ford, Jr.",FR,746-2,188,Fairleigh Dickinson,Lamar State College–Port Arthur
2.0,SG,Forrest JackJack Forrest,RS SO,776-5,210,Saint Joseph's,Bucknell
4.0,PF,Forrester JakeJake Forrester,SR,816-9,225,Temple,Saint Louis
2.0,PG,Foster ArmoniArmoni Foster,RSSR,766-4,170,Indiana (PA),Buffalo
2.0,SG,Foster MarcoMarco Foster,SO,746-2,180,New Hampshire,Blinn College
3.0,SG,Foster TylerTyler Foster,RS JR,776-5,190,Mississippi Valley State,
5.0,C,Foster XavierXavier Foster,SO,847-0,230,Iowa State,SMU
2.0,SF,Fountain DerekDerek Fountain,RS FR,826-10,225,Mississippi State,LSU
2.0,PG,Fragala DominikDominik Fragala,RSSR,726-0,170,Delaware State,
2.0,SG,Fraley TajahTajah Fraley,SR,776-5,215,Alcorn State,Cumberland University
4.0,PG,Francis JeremiahJeremiah Francis,JR,736-1,205,New Mexico,Emmanuel
4.0,PF,Frank TerrenTerren Frank,RS FR,806-8,225,Vanderbilt,Idaho
2.0,SF,Franklin Ja'vonJa'von Franklin,RSSR,796-7,220,South Alabama,Georgia Tech
4.0,PF,Frazier JadenJaden Frazier,RS SO,816-9,215,Chattanooga,Rollins
2.0,SG,Frazier LukeLuke Frazier,SO,776-5,170,Ohio,John Carroll University
3.0,C,Frazier MikeyMikey Frazier,RS JR,826-10,250,Utah Tech,California Baptist
2.0,SG,Frazier III OtisOtis Frazier III,RS FR,786-6,212,George Mason,UTEP
3.5,PG,Freedman SpencerSpencer Freedman,SR,726-0,170,Harvard,New York University
3.0,PG,Freeman BrayonBrayon Freeman,RS FR,746-2,180,George Washington,Rhode Island
2.0,SF,Freeman ChrisChris Freeman,RS SR,786-6,190,Jackson State,New Mexico Highlands
3.0,SG,Freeman JosiahJosiah Freeman,SO,756-3,205,Western Michigan,Howard College
3.0,PG,Freeman MarkMark Freeman,RS SO,715-11,165,Illinois State,Morehead State
2.0,SG,Freidel NoahNoah Freidel,RS SO,766-4,210,South Dakota State,James Madison
2.0,SF,Friberg DrewDrew Friberg,SR,796-7,215,Princeton,Belmont
4.0,SF,Fudge AlexAlex Fudge,RS FR,816-9,194,LSU,Florida
2.0,PG,Fulcher JosiahJosiah Fulcher,SO,756-3,180,Bowling Green,Clarendon College
2.0,SG,Fuller CalebCaleb Fuller,SR,776-5,210,UC Davis,Montana State
2.0,SG,Fuller DreDre Fuller,RS JR,776-5,215,UCF,Florida Atlantic
2.0,SG,Fuller XavierXavier Fuller,SR,766-4,170,South Dakota,Northern Arizona
2.0,SG,Funk AndrewAndrew Funk,SR,776-5,190,Bucknell,Penn State
3.0,PF,Funk TaylorTaylor Funk,RSSR,816-9,220,Saint Joseph's,Utah State
2.0,PF,Furgerson JakeJake Furgerson,RS JR,796-7,210,Weber State,
2.0,SG,Gabbidon JalenJalen Gabbidon,RSSR,776-5,195,Yale,Colorado
2.0,SG,Gadsden T.J.T.J. Gadsden,RS FR,796-7,195,George Mason,Canisius
4.0,PG,Gaffney JalenJalen Gaffney,RS SO,756-3,180,Connecticut,Florida Atlantic
4.0,PG,Gaines EricEric Gaines,RS FR,746-2,165,LSU,UAB
2.0,PF,Gainey JaylanJaylan Gainey,SR,826-10,220,Brown,Florida State
2.0,SG,Galloway BrevinBrevin Galloway,RSSR,746-2,215,Boston College,Clemson
2.0,PG,Gammons JacksonJackson Gammons,RS SO,756-3,195,The Citadel,Anderson
4.0,PF,Garcia DawsonDawson Garcia,RS FR,836-11,235,North Carolina,Minnesota
3.0,PF,Garcia JaredJared Garcia,SO,806-8,240,Charlotte,Salt Lake Community College
2.0,SG,Garcia JavohnJavohn Garcia,SO,746-2,180,Massachusetts,College of the Sequoias
3.0,SG,García AnderssonAndersson García,RS FR,796-7,210,Mississippi State,Texas A&M
2.0,PG,Gardler TommyTommy Gardler,RS FR,736-1,185,University of the Sciences,La Salle
2.0,PF,Gardner PatrickPatrick Gardner,RSSR,826-10,235,Saint Michael's,Marist
2.0,SG,Garry MattMatt Garry,SR,776-5,190,Connecticut,Endicott College
2.0,PG,Gary JeffreyJeffrey Gary,RSSR,776-5,180,Mercer,St. Edward's
3.0,SF,Gary JuwanJuwan Gary,RS SO,786-6,219,Alabama,Nebraska
2.0,PG,Gaston-Chapman SteeleSteele Gaston-Chapman,RS FR,736-1,185,Wichita State,Hutchinson Community College
2.0,PF,Gatkek TuongthachTuongthach Gatkek,RS FR,816-9,175,Florida,Texas State
2.0,SG,Gatkuoth MarengMareng Gatkuoth,RS SO,786-6,190,Montana State,Tarleton State
2.0,PG,Gatlin TaelyrTaelyr Gatlin,SR,756-3,180,Denver,Jackson State
2.0,PG,Gavalas ArtemiosArtemios Gavalas,RS FR,726-0,180,St. John's,
3.0,PF,Geeter LegendLegend Geeter,RS FR,806-8,235,Providence,Eastern Michigan
2.0,PG,Gentry JaylonJaylon Gentry,JR,695-9,173,South Dakota State,Purdue Northwest
2.0,SG,Geron JonahJonah Geron,RS JR,786-6,180,Washington,Fresno Pacific
2.0,SG,Gettelfinger C.J.C.J. Gettelfinger,RS SO,766-4,185,Tennessee Tech,
2.0,SG,Gholston DeAndreDeAndre Gholston,SR,776-5,215,Milwaukee,Missouri
2.0,PF,Gibson JaylonJaylon Gibson,SO,816-9,210,NC State,Winston-Salem State
2.0,PG,Gibson MasonMason Gibson,RS FR,715-11,172,Oakland,Midwestern State
2.0,SF,Gibson MilesMiles Gibson,RSSR,786-6,205,Metro State,Binghamton
2.0,SF,Gibson MilesMiles Gibson,RSSR,786-6,205,Saint Peter's,Metro State
2.0,PG,Gibson TrentonTrenton Gibson,SR,766-4,200,Tusculum,Indiana State
2.0,PG,Gibson UmojaUmoja Gibson,RSSR,736-1,168,Oklahoma,DePaul
2.0,PG,Giffa KezzaKezza Giffa,RS FR,746-2,160,UTEP,Daytona State College
2.0,C,Gigiberia SabaSaba Gigiberia,RS FR,857-1,248,Georgia Tech,San Francisco
2.0,PG,Gilbert BrockBrock Gilbert,SR,715-11,170,Utah Tech,Central Washington
2.0,PG,Gill TylerTyler Gill,FR,715-11,170,Towson,Fayetteville State
2.0,PF,Giorgetti MassimoMassimo Giorgetti,RS FR,816-9,215,Dominican (CA),New Orleans
2.0,PG,Gipson Montre'Montre' Gipson,SR,715-11,200,Tarleton State,Charlotte
2.0,PG,Givance ShamarShamar Givance,SR,705-10,155,Evansville,UTEP
2.0,C,Glushkov SashaSasha Glushkov,SO,836-11,240,Appalachian State,Southwest Baptist
2.0,PF,Godwin SamSam Godwin,RS FR,826-10,226,Wofford,Oklahoma
3.0,PF,Golden BryceBryce Golden,SR,816-9,245,Butler,Loyola Chicago
2.0,SG,Gomillion TreTre Gomillion,SR,766-4,210,Cleveland State,Missouri
4.0,SG,Goodine BrycenBrycen Goodine,RS SO,766-4,180,Providence,Fairfield
2.0,PF,Goodrick HunterHunter Goodrick,RS SO,796-7,225,South Dakota,California Baptist
2.0,PF,Gordon AntonioAntonio Gordon,JR,816-9,215,Southeastern Louisiana,Oklahoma Christian
2.0,SG,Gordon D.J.D.J. Gordon,RS FR,776-5,175,Fordham,Jacksonville State
3.0,SG,Gordon DaJuanDaJuan Gordon,RS SO,756-3,190,Missouri,New Mexico State
2.0,SG,Gordon DevinDevin Gordon,RS FR,766-4,210,Mississippi Valley State,North Carolina Central
2.0,PG,Gorton AlexanderAlexander Gorton,RSSR,756-3,190,Palm Beach Atlantic,Fresno State
2.0,SG,Grace III JeffreyJeffrey Grace III,RS FR,756-3,195,Arizona State,Nebraska
2.0,SG,Grafals GianFrancoGianFranco 'Pipo' Grafals,JR,746-2,173,Eckerd,Tarleton State
4.0,PF,Graham JalenJalen Graham,RS SO,816-9,225,Arizona State,Arkansas
3.0,SF,Graham JamesJames Graham,RS FR,796-7,215,Maryland,Missouri State
2.0,PF,Graham MichaelMichael Graham,RS FR,806-8,221,Elon,Loyola Marymount
2.0,SG,Graham ZebZeb Graham,JR,736-1,175,Presbyterian,Limestone
2.0,SG,Granda SylSyl Granda,SO,766-4,195,Seton Hall,Barry
2.0,SG,Grandison JacobJacob Grandison,RSSR,786-6,210,Illinois,Duke
